n	0.00014821402104639098
a	0.00022232103156958648
et	0.00022232103156958648
grup.adv	0.00022232103156958648
sa	0.00044464206313917296
neg	0.0012598191788943233
r	0.0015562472209871053
ao	0.002074996294649474
infinitiu	0.0026678523788350376
cpred	0.005632132799762857
grup.a	0.006669630947087594
d	0.007633022083889136
sadv	0.009337483325922631
mod	0.012227656736327256
v	0.017489254483474135
grup.nom	0.017785682525566917
atr	0.0426856380613606
S	0.06595523936564399
cd	0.06847487772343264
suj	0.06995701793389654
cc	0.07121683711279087
sentence	0.07788646805987846
sp	0.08092485549132948
s.a	0.08618645323847636
sn	0.14895509115162295
spec	0.20216392470727731
