GAP-SBJ	0.0
GAP-PRD	0.00018335166850018335
EXTR	0.0006417308397506417
PRN	0.0008250825082508251
PRP	0.0034836817015034835
DIR	0.004767143381004767
MNR	0.004767143381004767
DEP	0.007242390905757242
PRT	0.007517418408507517
APPO	0.007975797579757976
OPRD	0.0121012101210121
SUB	0.012376237623762377
IM	0.014118078474514118
LOC	0.01751008434176751
TMP	0.024477447744774478
VC	0.034103410341034104
AMOD	0.0440960762742941
CONJ	0.04592959295929593
ADV	0.0528969563623029
COORD	0.05335533553355336
OBJ	0.05628896222955629
PRD	0.05922258892555922
PMOD	0.07068206820682069
ROOT	0.09167583425009168
SBJ	0.12101210121012101
NMOD	0.25275027502750275
