('RB', 'RP')	0.0
(None, 'RP')	8.678295582747549e-05
('RP', None)	8.678295582747549e-05
('NN', 'RP')	8.678295582747549e-05
('RB', 'NN')	0.0006942636466198039
('RB', 'VB')	0.0007810466024472793
('JJ', 'VB')	0.0008678295582747548
('JJ', 'NN')	0.001041395469929706
('RB', 'JJ')	0.0011281784257571813
('JJ', 'JJ')	0.0014753102490670832
('RB', 'RB')	0.0034713182330990194
('NN', 'RB')	0.0045994966588562
('VB', 'RP')	0.008417946715265122
('RB', None)	0.009112210361884926
(None, 'RB')	0.012062830860019092
(None, 'JJ')	0.012236396771674042
('NN', 'VB')	0.014579536579015881
('JJ', 'RB')	0.017703722988804998
('JJ', None)	0.02560097196910527
('NN', 'NN')	0.031068298186236222
('VB', 'JJ')	0.031068298186236222
('VB', 'VB')	0.04018050854812115
('NN', 'JJ')	0.04261043131129046
('VB', 'RB')	0.046168532500216956
(None, 'VB')	0.05823136336023605
(None, None)	0.060227371344267984
(None, 'NN')	0.06560791460557147
('VB', 'NN')	0.08678295582747549
('NN', None)	0.17009459342185196
('VB', None)	0.25392692875119327
